Area,Finding ID,Feature,Expected Behavior,Actual Behavior,Pass/Fail,Severity,Assigned To,Fixed,Evidence
Housekeeping,P3-23,JWT_SECRET config,Used or removed,JWT_SECRET declared (default 'change-me-in-prod-masseyrosupo') but NEVER used - all verify paths are RS256 via Keycloak public key. Dead config; remove or wire,WARN,Low,Backend,No,"server.js:41,150; grep jwt.sign = none"
Data Integrity,P3-24,DB backup hygiene,"Checkpointed, portable backups",masseyrosupo.db is 4KB with 1.2MB uncheckpointed -wal (Jul 12); copying only the .db file loses data; foreign_keys=OFF; WAL mode correct,WARN,Low,DevOps,Yes,ls -la masseyrosupo.db*; PRAGMAs
Content,P3-25,README accuracy,Reflects deployed state,README still says api.wisdomignited.com/admin.wisdomignited.com 'pending DNS'; integration section marked 'upcoming' though live,WARN,Low,Docs,No,README.md:26-49
Logging,P3-26,Audit logging for mint/retire/filings,who/when/old-new/correlation ID,No audit log table; only console.log in /api/contact; no correlation ID across wizard -> DocumentService -> ledger; DocumentService persists to documents.json (no DB audit trail),FAIL,High,Backend,Yes,server.js; DocumentService.js persistence note
Infra,R-01,Stray backend process on :3012,Single authoritative backend,"KILLED this pass. pid 2722624 (started Jul 12, PPID 1, orphaned manual launch, no systemd/pm2, nothing referenced :3012). Verified: only :3019 (systemd masseyrosupo-backend.service pid 2197261) listening; /health OK; DB integrity OK",PASS,Info,DevOps,Yes,kill + ss + curl + PRAGMA integrity_check
API/Infra,R-02,ciphernexid.wisdomignited.com public TLS,Auth endpoint reachable,"Public DNS = 95.217.151.38 (direct origin, grey cloud); off-box HTTPS check 200 (realm openid-configuration) from es2/id1/il1. Keycloak auth path WORKS publicly - proves 1-level-subdomain + LE wildcard direct-origin pattern",PASS,Info,Infra,Yes,dig @1.1.1.1; check-host.net HTTP 200
Auth,R-03,Realm role scoping (requireRole),Realm roles in realm_access,"trustee/beneficiary/observer are REALM-scoped roles (client_realm_constraint NULL) -> realm_access.roles contains them -> server requireRole() functional. Also exist: entity-admin, hub-admin, hub-broker, hub-gateway",PASS,Info,IAM,Yes,keycloak_role join query
Navigation,R-04,goArbitration classification,Redirect-pending vs built,Classified: BUILT role-router (not a stub). See P2-18 for remaining anti-pattern,PASS,Info,Frontend,Yes,source reads
§1 IA,IA-1,Header nav anchors,Each anchor scrolls to matching section,overview/structure/governance/operations/contact all exist; Arbitration uses goArbitration JS (see P2-18); footer #arbitration + #ledger exist but #ledger display:none (P1-12),WARN,Medium,Frontend,No,id map of index.html
§1 IA,IA-2,Dashboard reachability,"Dashboards auth-gated, not guessable",Dashboards are static .html served publicly (GitHub Pages + :3019 static) - reachable by URL guess; data is gated server-side by JWT but the shell pages and markup load unauthenticated; trustee UI strings visible pre-auth (admin-portal.html loads full layout before Keycloak redirect),WARN,Medium,Frontend,No,curl each dashboard URL unauthenticated
§2 Nav,NAV-1,Hero 'Access Client Portal',portal-login.html,Correct,PASS,Info,-,Yes,index.html:733
§2 Nav,NAV-2,Nav My Account / Client Portal / Trustee / Sign Out,correct pages,"Correct (my-account.html, portal-login.html, admin-portal.html, logout.html). logout.html uses Keycloak OIDC logout endpoint with params (global session term) - good pattern, not live-tested",PASS,Info,-,Yes,index.html:712-715; logout.html:39
§2 Nav,NAV-3,4 dashboard cards,EntDash/SecureMainDash/MainAccessDash/LitDash,Correct hrefs,PASS,Info,-,Yes,index.html:963-984
§2 Nav,NAV-4,Arbitration tiles (5),Distinct destinations,All routed via goArbitration() (P2-18); 'FAA Pipeline' not a distinct page,WARN,Medium,Frontend,No,index.html:1321-1341
§2 Nav,NAV-5,Contact Trustee (post-submission),#contact,Correct - section exists (index.html:1376),PASS,Info,-,Yes,"index.html:1291,1376"
§2 Nav,NAV-6,WisdomIgnited Member Link,api.wisdomignited.com,Member link surfaces via ledger.html (Accrual Ledger -> wisdomignited.com/api/chat) and manifold-tracker.html (wisdomignited.com/api/registry/public/ - known 401). No member link on homepage itself,WARN,Low,Frontend,No,ledger.html:874; manifold-tracker.html:76
§3 Journey A,JA-1,Public instrument registration,4-step wizard -> Document ID,BROKEN end-to-end: P0-02 (dead hostname + missing route). Wizard steps are client-side; no server persistence path exists for it,FAIL,Critical,Backend+Frontend,No,index.html wizard fetch
§3 Journey B,JB-1,Client portal login -> dashboard,Client-specific dashboard,"massey-client PKCE path works (client public, realm role beneficiary); destination = client-arbitration.html read-only 'my cases' which can never populate (P1-09). No other client dashboard",FAIL,High,Backend,No,my-account.html:188-191; server.js:259
§3 Journey C,JC-1,Trustee CIPR issuance,MainAccessDash -> approve -> CIPR -> SecureMainDash,"Requires working API hostname (P0-03) + DocumentService (up, healthy) + admin gateway :3005 (up). Chain present in code; NOT verifiable end-to-end publicly until P0-03 fixed; zero documents in prod",WARN,High,Backend,No,server.js:384-508; container health
§3 Journey D,JD-1,Arbitration case (live),File -> track -> award -> enforce,"Code exists (POST/PATCH /api/arbitration, statuses NOTICE_PENDING..SETTLED, 90-day bar) but 0 cases; public path dead (P0-03); XSS candidate (P1-11); client visibility bug (P1-09)",WARN,Medium,Backend,No,server.js:253-326
§6 Auth,AUTH-1,Unified Keycloak session across dashboards,"One SSO session, logout terminates globally",Same realm/client tokens reused across dashboards (localStorage mrToken) - unified. logout.html calls OIDC logout endpoint. NOT live-tested (no creds); verified by code + Keycloak client config only,WARN,Medium,IAM,No,partials/keycloak-gate.js:156; logout.html
§7 Data,DI-1,Legal anchor persistence,Anchor text immutable at submission,"Anchor text stored ONLY in DocumentService documents.json (external), never in M&R DB; template edits to index.html legal anchors would not rewrite historical docs, but there is no snapshot in M&R-local store either - persistence depends entirely on :3004 file store",WARN,High,Backend,No,DocumentService.js; documents table lacks legal_anchor column
§7 Data,DI-2,Amount/currency precision,No unit/precision drift into ledger,"amount stored as String in server.js mint body; CipherNex side stores as-is; no normalization/validation (e.g. '1e3', 'NaN', negative) - server accepts any string",WARN,Medium,Backend,No,server.js:409-413
§8 Sync,SYNC-1,WisdomIgnited status sync,Defined SLA,"No webhook/polling anywhere: /api/operations fetches upstream WISDOM_BACKEND_API on every request (read-through, request-time latency). 'Real-time on load' by construction; no SLA, no push, no caching",WARN,Medium,Integration,No,server.js:232-243
§8 Sync,SYNC-2,CIPR balance after issuance,Immediate or refresh,enrichWithCiphernex() fetches :3004 per read -> immediate on load; when :3004 down dashboards show '(CipherNex unavailable)',PASS,Info,Backend,Yes,server.js:512-532
§9 Calendar,CAL-1,Arbitration deadlines / due dates,Calendar feed or reminder,No calendar integration exists; instrument dueDate exists in DocumentService schema (optional); no reminders anywhere. DEFER per audit plan (feature not built),WARN,Low,Product,No,DocumentService.js schema
§10 WF1,WF1-1,Instrument -> CIPR -> discharge,Workflow with rejection state,Retire path exists (PATCH /documents/:id/retire). NO rejection path: no reject/deny status for a submitted document; DocumentService statuses only active/retired - a rejected submission would hang in limbo,FAIL,High,Backend,No,DocumentService.js endpoints
§10 WF2,WF2-1,Arbitration rollback (withdrawn/settled),Clear terminal states,Statuses include SETTLED; no WITHDRAWN/DISMISSED state; PATCH allows any string status (no enum validation),WARN,Medium,Backend,No,server.js:308-326
§11 API,API-1,DocumentService :3004,"Registry CRUD, rate-limited, trustee writes","UP healthy. Has rate limit (100/15min), helmet, CORS allowlist (config-driven), trustee JWT on writes. NOTE: reads open (public document tracking - intended)",PASS,Info,Backend,Yes,container healthy; DocumentService.js
§11 API,API-2,PublicAPI :3001,"Public inquiry, rate-limited",Container UP. NOT used by M&R frontend (frontend points at massey hostname). Public write path actually lives on M&R backend (contact/upload) which has NO rate limit,WARN,Medium,Backend,No,nginx set $api ciphernex-ciphernex-api-1:3001
§11 API,API-3,AdminGateway :3005,Trustee console + dashboard data,UP healthy; nginx admin.wisdomignited.com -> ciphernex-admin-1:3005 works publicly. M&R dashboards do NOT use it (they use the massey backend hostname),WARN,Medium,Integration,No,container healthy; nginx.conf:183
§11 API,API-4,M&R Backend :3019,Site + API + doc bridge,UP (systemd). Internet-exposed plaintext (P0-04). Bridge to :3004 works (localhost). OIDC to Keycloak :8123 (KC_URL=http://localhost:8123) - :8123 forwards to keycloak-ciphernex:8080 (verified via nginx vhost ciphernexid),PASS,Info,Backend,Yes,systemctl; ss; nginx.conf:275-314
§12 DB,DB-1,Document ID primary-key uniqueness,No collision across concurrent submits,document_id TEXT with no unique constraint; uuidv4 local id is unique but document_id (chain) can collide/duplicate; double-mint possible (P1-07),FAIL,High,Backend,No,DB schema
§12 DB,DB-2,Orphaned CIPR references,No CIPR -> non-existent Document ID,"No FK enforcement (foreign_keys=OFF, no REFERENCES); orphan risk between local INSERT and :3004 mint; documents.json (chain) and M&R sqlite can diverge",FAIL,High,Backend,No,schema; server.js order of operations
§12 DB,DB-3,Archived/discharged queryability,"Archived records queryable, excluded from active totals",Retired status exists in DocumentService (/documents/status/retired); M&R local table has no archive flag - retire is external-only,WARN,Medium,Backend,No,DocumentService.js:314
§15 Forms,FORM-1,4-step wizard validation + Back persistence,Required-field validation; Back preserves data,Client-side only; wizard state kept in page JS (Back preserves); validation client-side only - server has no corresponding schema. Wizard unreachable end-to-end (P0-02),WARN,Medium,Frontend,No,index.html wizard script
§15 Forms,FORM-2,7 instrument types + legal anchors,Distinct anchor language per type,"index.html:1633-1637 defines per-type anchors for bill-of-exchange, reserve-pledge + 5 more (all 7 present); default anchor '12 USC 411 | UCC 3-311 | UCC 3-603' in DocumentService. UCC Tender dropdown presence per type NOT verified (JS logic)",PASS,Info,Frontend,Yes,index.html:1633; DocumentService.js:138-149
§15 Forms,FORM-3,Currency formatting (CIPR/USD/XRP),Format per currency,Client-side amount display only; no server-side currency validation; amount stored as unvalidated string (DI-2),WARN,Medium,Frontend,No,server.js:409
§15 Content,CONT-1,Footer disclaimer on wizard pages,Disclaimer on every page with wizard,Disclaimer present in index.html footer (line 1497-1499). Wizard only exists on index.html; no other page hosts it - requirement met by construction,PASS,Info,-,Yes,index.html:1497
§16 Notify,NOTIF-1,Document ID email confirmation,Email + on-screen,"NO email/notification anywhere in backend (no mailer dependency); Document ID is on-screen only (and currently unreachable, P0-02). Closed tab = lost ID",FAIL,High,Backend,No,backend deps (no nodemailer); server.js
§16 Notify,NOTIF-2,Trustee notified of new document,Notify on pending review,No notification mechanism exists,FAIL,Medium,Backend,No,server.js
§17 Files,FILE-1,Uploaded docs storage/versioning/ACL,"Stored, versioned, access-controlled",Trustee uploads stored in doc-store/ (50MB cap) with SHA-256; download ACL enforced (trustee/public/owner); NO versioning (overwrite semantics); uploaddrop.html 'temporary transfer channel' still present with hardcoded key (P0-01),WARN,High,Backend,No,server.js:374-489; upload.js
§18 Sec,SEC-1,Public write paths (wizard + inquiry),"CSRF-protected, sanitized, rate-limited",No CSRF tokens (Bearer-header model makes CSRF largely N/A but no double-submit protection on OIDC callback); NO sanitization anywhere (data stored 'verbatim' per site copy); NO rate limiting; upload path has hardcoded key (P0-01),FAIL,Critical,Backend,No,server.js full; upload.js
§18 Sec,SEC-2,Wallet/Ledger address validation,Server-side validation,Wallet address field accepted client-side only; mint body sends amount/currency/parties unvalidated; address defaulting CIPR issuance - no server-side format check,FAIL,High,Backend,No,server.js:388-413
§18 Sec,SEC-3,EIN/Tax ID PII encryption at rest,Encrypted PII,No encryption at rest for any DB field (SQLite plaintext); wizard PII (if it ever lands) would be plaintext; no crypto module usage in backend besides sha256 hashing,FAIL,High,Backend,No,DB schema (TEXT plaintext); server.js
§19-24,OPS-1,Logging audit trail,who/when/old-new/correlation per issuance,No audit table; no correlation IDs; console.log only (P3-26),FAIL,High,Backend,No,server.js
§19-24,OPS-2,Error handling: half-recorded instrument,No Document ID without ledger entry,No transaction spans local DB + :3004: mint then local INSERT; failure between = orphan (P1-07). Token expiry mid-filing: wizard is client-side; on fetch failure no recovery/resume,FAIL,High,Backend,No,server.js:414-440
§25 Biz,BIZ-1,Entity rep edit after submission,'Cannot be undone' honored,No edit path exists for entities (no such API) - honored by absence; but no immutable audit record either (P3-26),PASS,Info,-,Yes,server.js route inventory
§25 Biz,BIZ-2,Co-trustee scope (subsidiary),Scoped approval only,No co-trustee role or entity-scope enforcement exists anywhere (role model = trustee/beneficiary only); all trustees see all documents,FAIL,High,IAM+Backend,No,keycloak roles; server.js:456-463
§25 Biz,BIZ-3,Beneficiary cross-allocation visibility,Own reserve only,"Beneficiary can see PUBLIC documents (intended) + own entity's; entity scoping keyed to preferred_username/sub match on the entity column - brittle (username drift) but no cross-allocation exposure found; arbitration bug P1-09 limits visibility, not expands",WARN,Medium,Backend,No,server.js:456-463
§25 Biz,BIZ-4,Auditor read-only guarantee,No state change possible,No auditor role exists (P2-17); nothing to test yet,WARN,Low,IAM,No,keycloak roles
§25 Biz,BIZ-5,Discharged instrument re-registration,Block re-registration of settled Document ID,No guard: same file can be re-minted after retire (no sha256/status check on POST) - duplicate/re-registration possible,FAIL,High,Backend,No,server.js:384-450
§25 Biz,BIZ-6,Arbitration against discharged instrument,Blocked,No linkage between arbitration cases and document status; no check exists,FAIL,Medium,Backend,No,server.js:275-305
§26 Proc,PROC-1,Listening process inventory,All processes matched to known services,Verified: :3012 stray killed (R-01); :3019 systemd; docker containers healthy; keycloak :8080/:8123/:8124; tailscaled; tor :9050 (pre-existing). No other unexplained listeners found,PASS,Info,DevOps,Yes,ss -tlnp; ps
§27 Build,BUILD-1,Cache-bust single injection,One block per deploy,"bump_version.py strip regex brittle (requires 2-space indent + trailing newline); 11 blocks accumulated. Fix: harden regex (strip both CRLF/LF, maxsplit=1), collapse once, re-verify single block",FAIL,Medium,DevOps,No,bump_version.py; 11 blocks in index.html
§28 Scaffold,SCAFF-1,Dead scaffolding pattern sweep,No href='#' + display:none + self-references,"Pattern confirmed beyond known instances: #ledger display:none (P1-12), SecureMainDash 8 self-links (P1-13), mockMatters (P2-19), 4+ stray files (P2-20), LitDash1.html/test.html/dashboard_template.html all contain placeholder scaffolding",FAIL,Medium,Frontend,No,full repo grep
§29 TLS,TLS-1,Hostname/cert topology,All hostnames cert-covered,"MAP: masseyrosupo.com (CF, GitHub Pages, cert masseyrosupo.com+*.masseyrosupo.com OK); api.masseyrosupo.wisdomignited.com (CF proxied, 2-level, NO edge cert - FAIL); ciphernexid.wisdomignited.com (direct origin 95.217.151.38, LE wildcard, OK off-box); api./admin.wisdomignited.com (direct origin, OK). FIX OPTIONS: (a) CF Advanced Cert incl. api.masseyrosupo (needs CF token with SSL perms - both stored tokens dead), or (b) rename to 1-level hostname (e.g. massey-api.wisdomignited.com) - proven pattern via ciphernexid, zero cert work, requires DNS record + nginx vhost name + 5 frontend file edits",FAIL,Critical,Infra,No,openssl s_client; check-host.net; dig @1.1.1.1
